city,city_stem,status,expected_image_count,finished_image_count,missing_image_count,extra_finished_count,shard_count,missing_examples,extra_examples,error
Buenos Aires,buenosaires,complete,132121,132121,0,157690,4529,,--1LS9hbJMHAFzfflpCGQA_0.jpg;--1LS9hbJMHAFzfflpCGQA_180.jpg;--1LS9hbJMHAFzfflpCGQA_270.jpg;--1LS9hbJMHAFzfflpCGQA_90.jpg;--299U1_raBvfvmaTXHkzQ_0.jpg,
Sydney,sydney,complete,654211,654211,0,965307,25305,,--02Yl7wATavGA9KDc1V5g_0.jpg;--02Yl7wATavGA9KDc1V5g_180.jpg;--02Yl7wATavGA9KDc1V5g_270.jpg;--02Yl7wATavGA9KDc1V5g_90.jpg;--3t-hEQWrlZMguWNGNYrA_0.jpg,
Vienna,vienna,complete,179827,179827,0,128418,4817,,--5uXa-qqPOjIWvZ-3F5iQ_0.jpg;--5uXa-qqPOjIWvZ-3F5iQ_180.jpg;--5uXa-qqPOjIWvZ-3F5iQ_270.jpg;--5uXa-qqPOjIWvZ-3F5iQ_90.jpg;--JD4_dfVuIn3iowBk8wLQ_0.jpg,
Saidpur,saidpur,empty_expected,0,0,0,6050,95,,-0YArmh95JZoSRumqEbIMg_180.jpg;-0YArmh95JZoSRumqEbIMg_270.jpg;-1XEEL7i1fla7tFRghNzDQ_180.jpg;-2DWsNZn3ornWmnWahHkVQ_0.jpg;-2DWsNZn3ornWmnWahHkVQ_180.jpg,
Rajshahi,rajshahi,empty_expected,0,0,0,175014,2735,,--26I_hvbwbnX7-0jagXBg_0.jpg;--26I_hvbwbnX7-0jagXBg_180.jpg;--26I_hvbwbnX7-0jagXBg_270.jpg;--26I_hvbwbnX7-0jagXBg_90.jpg;--6UnvMe24kBfW93ObkgPA_0.jpg,
Dhaka,dhaka,complete,2930,2930,0,833267,13066,,---48jt1Yiv7hNRQzOwQzw_0.jpg;---48jt1Yiv7hNRQzOwQzw_180.jpg;---48jt1Yiv7hNRQzOwQzw_270.jpg;---48jt1Yiv7hNRQzOwQzw_90.jpg;---7iAlpGK252Xvq_bQHzA_0.jpg,
Antwerp,antwerp,complete,81846,81846,0,55581,2148,,--Sk_iparu8NkeaoBUQROA_0.jpg;--Sk_iparu8NkeaoBUQROA_180.jpg;--Sk_iparu8NkeaoBUQROA_270.jpg;--Sk_iparu8NkeaoBUQROA_90.jpg;--rfJZY5y5Jy4LZ83ezWyA_0.jpg,
Brussels,brussels,incomplete,1264274,895139,369135,1791325,41976,---StbxHmKfbZcc2nncgfw_0.jpg;---StbxHmKfbZcc2nncgfw_180.jpg;---StbxHmKfbZcc2nncgfw_270.jpg;---StbxHmKfbZcc2nncgfw_90.jpg;--0XaVYOv1sX-y4MOMu2MA_0.jpg,---349EApgLUPc7akch20Q_0.jpg;---349EApgLUPc7akch20Q_180.jpg;---349EApgLUPc7akch20Q_270.jpg;---349EApgLUPc7akch20Q_90.jpg;--0458lKgPA8IsJbzEWJjw_0.jpg,
Cochabamba,cochabamba,empty_expected,0,0,0,45110,705,,-0s58rEAnwwjZbLdcU94lA_0.jpg;-0s58rEAnwwjZbLdcU94lA_180.jpg;-0s58rEAnwwjZbLdcU94lA_270.jpg;-0s58rEAnwwjZbLdcU94lA_90.jpg;-0v8aMbvC5T1SVOfDIPifA_0.jpg,
Gaborone,gaborone,empty_expected,0,0,0,133896,2093,,--FXFfGpaDNHTPJFcrP3tA_0.jpg;--FXFfGpaDNHTPJFcrP3tA_180.jpg;--FXFfGpaDNHTPJFcrP3tA_270.jpg;--FXFfGpaDNHTPJFcrP3tA_90.jpg;--XSOVQmNgaOYTgF33xG_A_0.jpg,
Ilheus,ilheus,complete,10829,10829,0,20354,488,,--AqaWbr0it7MP6OSa9TDQ_0.jpg;--qNH2wGxlFLgqmpjX0A_Q_180.jpg;--qNH2wGxlFLgqmpjX0A_Q_270.jpg;--qNH2wGxlFLgqmpjX0A_Q_90.jpg;--uEH8mSGl8vFeqAVIj2ag_0.jpg,
Jequie,jequie,complete,14103,14103,0,34005,752,,--Vbfwu9wJZ0iHMHGVzjig_0.jpg;--Vbfwu9wJZ0iHMHGVzjig_180.jpg;--Vbfwu9wJZ0iHMHGVzjig_270.jpg;--Vbfwu9wJZ0iHMHGVzjig_90.jpg;--hie9rhtPPYmIuRGGAMpQ_0.jpg,
Palmas,palmas,complete,14611,14611,0,131680,2286,,--5xq_zhtfLeOkicsnvwuQ_0.jpg;--5xq_zhtfLeOkicsnvwuQ_180.jpg;--5xq_zhtfLeOkicsnvwuQ_90.jpg;--Gl4EZF9b_D6RGJAqfEsg_0.jpg;--Gl4EZF9b_D6RGJAqfEsg_180.jpg,
Florianopolis,florianopolis,complete,105275,105275,0,76200,2836,,--BHDHua0OHC6VIB3CVGIw_0.jpg;--BHDHua0OHC6VIB3CVGIw_180.jpg;--BHDHua0OHC6VIB3CVGIw_270.jpg;--BHDHua0OHC6VIB3CVGIw_90.jpg;--JA8nWu6A7Ko1Q1scG9-Q_0.jpg,
Ribeirao Preto,ribeiraopreto,complete,30473,30473,0,159503,2969,,---8ySHU7j0bwujAwKnGDg_0.jpg;---8ySHU7j0bwujAwKnGDg_180.jpg;---8ySHU7j0bwujAwKnGDg_270.jpg;---8ySHU7j0bwujAwKnGDg_90.jpg;--6fMOIDa0MN4MstPYerOQ_0.jpg,
Belo Horizonte,belohorizonte,complete,138720,138720,0,127283,4157,,--7YkMlzXqjYgH0yJ_d9Og_0.jpg;--7YkMlzXqjYgH0yJ_d9Og_180.jpg;--7YkMlzXqjYgH0yJ_d9Og_90.jpg;--Hgfhnka35gjywelSLkcQ_0.jpg;--Hgfhnka35gjywelSLkcQ_180.jpg,
Curitiba,curitiba,complete,235765,235765,0,152248,6063,,--6IIyzCSpyXSWtFwBwmeQ_0.jpg;--6IIyzCSpyXSWtFwBwmeQ_180.jpg;--6IIyzCSpyXSWtFwBwmeQ_270.jpg;--6IIyzCSpyXSWtFwBwmeQ_90.jpg;--9pONWXWewVa2n8fkKAfg_0.jpg,
Sao Paulo,saopaulo,complete,779500,779500,0,1304384,32561,,---S7zY4oUxlAQ_uaaOUPA_0.jpg;---S7zY4oUxlAQ_uaaOUPA_180.jpg;---S7zY4oUxlAQ_uaaOUPA_270.jpg;---S7zY4oUxlAQ_uaaOUPA_90.jpg;--02xst9kn9-gKHmdUgxug_0.jpg,
Rio de Janeiro,riodejaneiro,complete,313199,313199,0,236197,8585,,--0EnS2-fDWwh13s3luuVg_0.jpg;--0EnS2-fDWwh13s3luuVg_180.jpg;--0EnS2-fDWwh13s3luuVg_270.jpg;--0EnS2-fDWwh13s3luuVg_90.jpg;--0wGdG_I-Zrhpho1ZFxjg_180.jpg,
Victoria,victoria,complete,4552,4552,0,7304,186,,--oEYpZWdz8_c7bJ3bYboQ_90.jpg;-37j7MD8fgIVkhLpqT_i_g_270.jpg;-37j7MD8fgIVkhLpqT_i_g_90.jpg;-4ZP7FuWzo4oWpgzzzC1DA_90.jpg;-4grgXoBiUk9ZMuXz7rM_g_0.jpg,
Montreal,montreal,complete,215271,215271,0,109074,5068,,--0VhWsO9L2Zzuzf7FMfJA_0.jpg;--0VhWsO9L2Zzuzf7FMfJA_180.jpg;--0VhWsO9L2Zzuzf7FMfJA_270.jpg;--0VhWsO9L2Zzuzf7FMfJA_90.jpg;--18Rk-OhOICymy4byEHGQ_0.jpg,
Toronto,toronto,complete,63489,63489,0,30051,1462,,-06znHGf39iFtRrZ76BWCQ_0.jpg;-06znHGf39iFtRrZ76BWCQ_180.jpg;-06znHGf39iFtRrZ76BWCQ_270.jpg;-06znHGf39iFtRrZ76BWCQ_90.jpg;-0wm01bn7B7WyJ5PdYFARw_0.jpg,
