Country,City
Argentina,1
Lithuania,1
Malaysia,1
Peru,1
Poland,1
Republic of Korea,1
Rwanda,1
Hungary,1
Serbia,1
Spain,1
Sweden,1
Thailand,1
Turkey,1
Uganda,1
United Arab Emirates,1
Singapore,1
Guatemala,1
Kenya,1
Ghana,1
Australia,1
Austria,1
Bolivia,1
Botswana,1
Chile,1
Ecuador,1
Denmark,1
Ukraine,2
Belgium,2
South Africa,2
China,2
Greece,2
Colombia,2
New Zealand,2
Netherlands,2
Germany,2
France,2
Nigeria,2
Israel,2
Canada,3
United Kingdom,3
Italy,3
Bangladesh,3
Philippines,4
Mexico,4
Indonesia,5
Japan,5
Russian Federation,6
United States,8
Brazil,9
USA,10
India,14
